ID,Category,Image_ID,Equation,Solution_Steps,Sign_Language,Sign_Text,Sign_Translation,Anomaly_Type,Anomaly_Score,Timestamp,Camera_ID,Confidence_Score,Bounding_Box_X,Bounding_Box_Y,Bounding_Box_Width,Bounding_Box_Height,Blur_Level,Brightness_Level,Contrast_Level,Noise_Level,Label
433,Multi-lingual Street Signs,IMG_8620,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 07:12:00,,0.7,10,14,171,61,0.10751561016528266,0.603845899051641,0.8070713586251862,0.9353610549714388,Uncertain
434,Security Camera Anomalies,IMG_8472,,,,,,Unauthorized Access,0.03,2024-01-01 07:13:00,32.0,0.8,260,216,63,134,0.027720169243629855,0.33714305192629845,0.7787799806073717,0.4551769766145407,Uncertain
435,Security Camera Anomalies,IMG_3383,,,,,,Unauthorized Access,0.8,2024-01-01 07:14:00,17.0,0.83,129,77,79,139,0.6963944667705205,0.8574975047626068,0.6728846634191722,0.3645449182655256,Uncertain
436,Handwritten Math Solutions,IMG_1749,∫ x dx,9.0,,,,,,2024-01-01 07:15:00,,0.87,461,374,187,87,0.042139120810835706,0.24611509805863674,0.5048416824959984,0.2597756547768769,Correct
437,Handwritten Math Solutions,IMG_5236,x^2 + y^2 = 25,9.0,,,,,,2024-01-01 07:16:00,,0.58,13,272,112,156,0.5759189027446506,0.9878233445717326,0.9504711787068865,0.774466143574246,Uncertain
438,Security Camera Anomalies,IMG_6435,,,,,,Unauthorized Access,0.7,2024-01-01 07:17:00,16.0,0.85,273,82,66,161,0.05161094201396366,0.18820823791269004,0.35665363074214784,0.014116819815075954,Correct
439,Multi-lingual Street Signs,IMG_6545,,,English,Speed Limit 50,Alto,,,2024-01-01 07:18:00,,0.81,382,150,95,94,0.6514497117415742,0.27216193107349596,0.2845925794419083,0.2573210728997666,Incorrect
440,Handwritten Math Solutions,IMG_8316,∫ x dx,4.0,,,,,,2024-01-01 07:19:00,,0.78,128,144,63,59,0.03796296537532029,0.33407215513767563,0.3962669396405468,0.6660217447566191,Correct
441,Multi-lingual Street Signs,IMG_5213,,,Chinese,Yield,Limite de velocidad 50,,,2024-01-01 07:20:00,,0.93,326,401,129,88,0.4811954485052219,0.09758331756893368,0.3898169301238411,0.6558765227609213,Uncertain
442,Multi-lingual Street Signs,IMG_3202,,,Spanish,No Entry,Cédez le passage,,,2024-01-01 07:21:00,,0.77,8,312,92,136,0.6418048679612766,0.7514702636669883,0.8257854781452668,0.7695535075018306,Correct
443,Handwritten Math Solutions,IMG_9434,x^2 + y^2 = 25,6.0,,,,,,2024-01-01 07:22:00,,0.94,229,52,108,187,0.46087348160852026,0.24646868763771979,0.06779652542567449,0.3422078110529826,Correct
444,Handwritten Math Solutions,IMG_2123,∫ x dx,9.0,,,,,,2024-01-01 07:23:00,,0.76,218,321,145,113,0.7163511492749812,0.853230016395524,0.15577650300517953,0.2543087178697748,Uncertain
445,Security Camera Anomalies,IMG_8422,,,,,,Normal,0.24,2024-01-01 07:24:00,8.0,0.97,149,267,54,114,0.09214374460630081,0.7980718475016028,0.1678805346774771,0.8656888095992569,Correct
446,Security Camera Anomalies,IMG_6106,,,,,,Unauthorized Access,0.85,2024-01-01 07:25:00,18.0,0.83,209,103,102,128,0.405258703232645,0.49848645945029446,0.11697667389916344,0.4604323536484237,Uncertain
447,Handwritten Math Solutions,IMG_4045,x^2 + y^2 = 25,8.0,,,,,,2024-01-01 07:26:00,,0.95,278,429,107,106,0.9151246816952733,0.304015190625196,0.9446876609397468,0.4389612524739651,Correct
448,Security Camera Anomalies,IMG_1987,,,,,,Loitering,0.88,2024-01-01 07:27:00,14.0,0.91,386,83,186,58,0.9174673580973748,0.6451028657005099,0.8303573834345002,0.7696811492166312,Uncertain
449,Handwritten Math Solutions,IMG_2157,Σ(n=1 to ∞) 1/n^2,6.0,,,,,,2024-01-01 07:28:00,,0.62,140,326,96,170,0.02871820379069423,0.4817055787860798,0.6796354301717551,0.9382358079626949,Incorrect
450,Security Camera Anomalies,IMG_8713,,,,,,Normal,0.7,2024-01-01 07:29:00,6.0,0.7,358,257,187,177,0.46242852921078936,0.3360761261628328,0.5286312324333516,0.36800943376783746,Incorrect
451,Security Camera Anomalies,IMG_2742,,,,,,Unauthorized Access,0.35,2024-01-01 07:30:00,12.0,0.83,104,463,56,167,0.8951840969584385,0.5714823996203543,0.28129701815739416,0.2958578600967492,Uncertain
452,Security Camera Anomalies,IMG_2480,,,,,,Normal,0.35,2024-01-01 07:31:00,1.0,0.6,224,368,69,187,0.16773318204631804,0.11311028365687692,0.8497027982727559,0.4066057545918079,Incorrect
453,Security Camera Anomalies,IMG_3700,,,,,,Loitering,0.74,2024-01-01 07:32:00,49.0,0.96,130,104,198,94,0.736893893931598,0.21361555438381474,0.3027830005633795,0.9246302245450035,Incorrect
454,Multi-lingual Street Signs,IMG_8640,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 07:33:00,,0.98,358,348,91,101,0.14233802684772356,0.8601090599119933,0.33301317516952467,0.42557097766319885,Uncertain
455,Handwritten Math Solutions,IMG_7718,∫ x dx,1.0,,,,,,2024-01-01 07:34:00,,0.99,166,360,58,177,0.6097964295795988,0.4229016602566439,0.4303240093510695,0.23442806371527536,Correct
456,Security Camera Anomalies,IMG_2418,,,,,,Normal,0.63,2024-01-01 07:35:00,23.0,0.56,286,31,162,101,0.8353317176561397,0.6116552097041961,0.3405988430169359,0.06122321927033969,Incorrect
457,Security Camera Anomalies,IMG_7282,,,,,,Normal,0.25,2024-01-01 07:36:00,40.0,0.93,242,329,118,61,0.10198587680815885,0.452769828571303,0.8529928882453847,0.5869710199226676,Correct
458,Security Camera Anomalies,IMG_8872,,,,,,Unauthorized Access,0.39,2024-01-01 07:37:00,32.0,0.63,399,273,140,137,0.5252122832680627,0.8347178024797625,0.5035524825650894,0.34574099679004433,Correct
459,Handwritten Math Solutions,IMG_7295,x^2 + y^2 = 25,6.0,,,,,,2024-01-01 07:38:00,,0.76,75,445,114,168,0.8348959230384392,0.8304568471465418,0.5890000147719867,0.16749602987082235,Uncertain
460,Security Camera Anomalies,IMG_5029,,,,,,Loitering,0.37,2024-01-01 07:39:00,24.0,0.94,63,425,183,155,0.9228499377859899,0.30383016160103615,0.5740786649754253,0.36866154557431297,Uncertain
461,Handwritten Math Solutions,IMG_2744,Σ(n=1 to ∞) 1/n^2,7.0,,,,,,2024-01-01 07:40:00,,0.97,41,232,106,148,0.9588518147626772,0.1415278940505994,0.7674247951090987,0.18116478095962563,Correct
462,Handwritten Math Solutions,IMG_6106,Σ(n=1 to ∞) 1/n^2,8.0,,,,,,2024-01-01 07:41:00,,0.76,145,115,92,95,0.8573341571105638,0.45253950839689705,0.11781945634016566,0.5426447729541621,Correct
463,Handwritten Math Solutions,IMG_1134,∫ x dx,6.0,,,,,,2024-01-01 07:42:00,,0.77,408,232,104,194,0.4869583600245385,0.2504880323984825,0.920093397709533,0.7364503367073555,Correct
464,Security Camera Anomalies,IMG_1570,,,,,,Normal,0.19,2024-01-01 07:43:00,22.0,0.92,180,260,129,79,0.7148953932406871,0.29394335213257183,0.15834658449948336,0.9093240124810802,Correct
465,Security Camera Anomalies,IMG_1826,,,,,,Normal,0.38,2024-01-01 07:44:00,20.0,0.98,423,201,177,140,0.0921387605641667,0.4823776477468863,0.8912135012034933,0.5135441712263108,Correct
466,Security Camera Anomalies,IMG_5074,,,,,,Loitering,0.46,2024-01-01 07:45:00,37.0,0.68,270,470,108,147,0.14490404666489287,0.3653761523278358,0.7287412746051842,0.2429097528059,Incorrect
467,Security Camera Anomalies,IMG_3163,,,,,,Loitering,0.42,2024-01-01 07:46:00,42.0,0.99,2,192,80,195,0.9834667868109159,0.9577476333844315,0.4148918430288856,0.6458379170498011,Uncertain
468,Handwritten Math Solutions,IMG_3919,Σ(n=1 to ∞) 1/n^2,5.0,,,,,,2024-01-01 07:47:00,,0.77,384,409,162,128,0.12478498464806409,0.9814744052579082,0.5716085979083801,0.5362811837628457,Correct
469,Security Camera Anomalies,IMG_5501,,,,,,Unauthorized Access,0.09,2024-01-01 07:48:00,46.0,0.65,214,316,134,54,0.7053385646140418,0.8988743066294063,0.17771565130505507,0.784347852219458,Uncertain
470,Multi-lingual Street Signs,IMG_4061,,,Spanish,Stop,禁止进入,,,2024-01-01 07:49:00,,0.59,180,246,71,102,0.11135313355365961,0.6497793953198142,0.746867365253008,0.8922679238523312,Correct
471,Multi-lingual Street Signs,IMG_1673,,,Spanish,No Entry,Alto,,,2024-01-01 07:50:00,,0.89,288,135,92,120,0.4249600745714367,0.7061001732646113,0.4304765871096139,0.4130587568640194,Incorrect
472,Security Camera Anomalies,IMG_1035,,,,,,Unauthorized Access,0.56,2024-01-01 07:51:00,50.0,0.77,366,190,100,61,0.014787850124476476,0.9800076044466423,0.22592518414350193,0.5644305146370372,Correct
473,Multi-lingual Street Signs,IMG_2424,,,Spanish,Speed Limit 50,Alto,,,2024-01-01 07:52:00,,0.8,8,262,99,80,0.9032173804920957,0.05925793302077276,0.23153027385454306,0.9950444617571232,Incorrect
474,Security Camera Anomalies,IMG_6163,,,,,,Unauthorized Access,0.4,2024-01-01 07:53:00,48.0,0.73,82,75,133,178,0.9903618134950286,0.23451225052133817,0.06585421168003414,0.30700661364377535,Correct
475,Multi-lingual Street Signs,IMG_8078,,,English,Speed Limit 50,Alto,,,2024-01-01 07:54:00,,0.64,402,423,131,184,0.2076791296329481,0.8632278834753521,0.35389445221669436,0.9486564191194985,Incorrect
476,Handwritten Math Solutions,IMG_7116,x^2 + y^2 = 25,8.0,,,,,,2024-01-01 07:55:00,,1.0,227,479,76,129,0.42408914588200064,0.9944608883481179,0.536611691970614,0.01162768321582286,Correct
477,Handwritten Math Solutions,IMG_2416,Σ(n=1 to ∞) 1/n^2,5.0,,,,,,2024-01-01 07:56:00,,0.93,457,377,186,125,0.24512177879202768,0.8904259560111957,0.44632735770068177,0.5018796624728538,Correct
478,Security Camera Anomalies,IMG_6634,,,,,,Loitering,0.89,2024-01-01 07:57:00,19.0,0.94,403,454,80,139,0.08883523186167486,0.6744621855914654,0.12109705822289685,0.5918299620157289,Uncertain
479,Handwritten Math Solutions,IMG_7638,x^2 + y^2 = 25,2.0,,,,,,2024-01-01 07:58:00,,0.78,383,44,88,121,0.2663263170877225,0.185257363530829,0.03271822179908945,0.1418173196934781,Correct
480,Multi-lingual Street Signs,IMG_5411,,,Spanish,Yield,Cédez le passage,,,2024-01-01 07:59:00,,0.94,16,173,174,122,0.5648296704731824,0.1694265505481054,0.48702190565840076,0.7628531137281529,Correct
481,Multi-lingual Street Signs,IMG_7479,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 08:00:00,,0.94,55,88,169,60,0.2005162934284449,0.6191885555109492,0.7691514334206392,0.8918297350201918,Correct
482,Security Camera Anomalies,IMG_3347,,,,,,Normal,0.21,2024-01-01 08:01:00,19.0,0.55,417,75,124,149,0.8128612485421927,0.9270892962032352,0.18695666303165448,0.21137528328424238,Incorrect
483,Multi-lingual Street Signs,IMG_3548,,,Spanish,Stop,Cédez le passage,,,2024-01-01 08:02:00,,0.99,138,343,144,125,0.23401835656307424,0.05673485147048274,0.8136935677242373,0.9488641166260776,Uncertain
484,Security Camera Anomalies,IMG_8393,,,,,,Normal,0.18,2024-01-01 08:03:00,35.0,0.64,403,350,80,109,0.9228013148653008,0.5602266490009532,0.8371929652359148,0.9543992013522772,Uncertain
485,Handwritten Math Solutions,IMG_1595,Σ(n=1 to ∞) 1/n^2,1.0,,,,,,2024-01-01 08:04:00,,0.59,429,463,109,154,0.06176255920327922,0.30101224212501854,0.40613817366583105,0.8211565637750641,Correct
486,Handwritten Math Solutions,IMG_5664,∫ x dx,6.0,,,,,,2024-01-01 08:05:00,,0.5,290,160,147,112,0.5232147972091301,0.3573272948428312,0.14701378377775698,0.16866060971355123,Uncertain
487,Multi-lingual Street Signs,IMG_3812,,,English,No Entry,Alto,,,2024-01-01 08:06:00,,0.6,464,102,187,142,0.13140235638225317,0.25419883438895097,0.3237649987555812,0.8404125284494538,Correct
488,Multi-lingual Street Signs,IMG_6216,,,Spanish,No Entry,禁止进入,,,2024-01-01 08:07:00,,0.92,405,118,179,195,0.8548876602842017,0.163971215868024,0.3857367027570191,0.18075078956606616,Uncertain
489,Handwritten Math Solutions,IMG_8000,∫ x dx,3.0,,,,,,2024-01-01 08:08:00,,0.59,74,407,170,153,0.8632023402439344,0.13462859604787636,0.39275043315232816,0.3657462329270934,Incorrect
490,Handwritten Math Solutions,IMG_6982,x^2 + y^2 = 25,6.0,,,,,,2024-01-01 08:09:00,,0.65,152,131,132,66,0.3176715124393066,0.5292996074816149,0.4638486852139627,0.9456993247823889,Uncertain
491,Handwritten Math Solutions,IMG_4807,Σ(n=1 to ∞) 1/n^2,9.0,,,,,,2024-01-01 08:10:00,,0.54,159,233,71,167,0.7412838535277277,0.6159928666068172,0.3969029761774051,0.1908930730420797,Incorrect
492,Multi-lingual Street Signs,IMG_7461,,,English,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 08:11:00,,0.79,17,83,158,111,0.46138680784815944,0.5381201901438027,0.19010455684275862,0.9481128366024331,Correct
493,Security Camera Anomalies,IMG_2238,,,,,,Loitering,0.52,2024-01-01 08:12:00,38.0,0.93,268,395,129,176,0.8330446098028558,0.21023555464846722,0.6215868062014013,0.6258355385825672,Correct
494,Handwritten Math Solutions,IMG_1281,x^2 + y^2 = 25,2.0,,,,,,2024-01-01 08:13:00,,0.65,109,351,107,102,0.3627766205539841,0.03380369998584665,0.44734056653598264,0.1958402294969902,Incorrect
495,Security Camera Anomalies,IMG_7490,,,,,,Unauthorized Access,0.86,2024-01-01 08:14:00,49.0,0.73,102,213,66,128,0.6248390759477401,0.04100814145878273,0.2037401272612669,0.39767626330532546,Correct
496,Multi-lingual Street Signs,IMG_4037,,,Spanish,Stop,禁止进入,,,2024-01-01 08:15:00,,0.96,399,398,168,165,0.7103595639618732,0.7140577593387305,0.12464582969130955,0.44497941226408744,Incorrect
497,Handwritten Math Solutions,IMG_6261,∫ x dx,10.0,,,,,,2024-01-01 08:16:00,,0.92,408,398,88,113,0.7813021377542886,0.22101614618142673,0.2591317499083151,0.42645341635056877,Uncertain
498,Security Camera Anomalies,IMG_2026,,,,,,Unauthorized Access,0.3,2024-01-01 08:17:00,30.0,0.96,30,494,124,141,0.9807501578075419,0.6353129372061599,0.3506962531169011,0.3187165699521499,Incorrect
499,Multi-lingual Street Signs,IMG_6851,,,Spanish,No Entry,禁止进入,,,2024-01-01 08:18:00,,0.73,376,36,194,184,0.3401952235028719,0.05982894856316956,0.10255392310259093,0.7991799848101496,Incorrect
500,Multi-lingual Street Signs,IMG_8172,,,Chinese,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 08:19:00,,0.63,363,113,143,78,0.9506024716533147,0.9981181674455147,0.7963197346296347,0.3097137805912006,Correct
501,Multi-lingual Street Signs,IMG_4532,,,English,Yield,禁止进入,,,2024-01-01 08:20:00,,0.61,108,401,137,111,0.14855051571760824,0.8748363157391437,0.6417253214950754,0.4163679812745599,Uncertain
502,Handwritten Math Solutions,IMG_8931,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 08:21:00,,0.53,458,220,124,191,0.1702204525276343,0.9792898254413338,0.49238824663062264,0.33550592574648674,Incorrect
503,Multi-lingual Street Signs,IMG_3383,,,English,Yield,Cédez le passage,,,2024-01-01 08:22:00,,0.74,137,399,192,187,0.8010862494754493,0.18512069673350662,0.40982786132616145,0.8747416355755703,Correct
504,Multi-lingual Street Signs,IMG_6117,,,English,Yield,Limite de velocidad 50,,,2024-01-01 08:23:00,,0.72,111,437,169,106,0.9176640900370051,0.0051948806900679045,0.16897069797751718,0.5013752606975778,Incorrect
505,Security Camera Anomalies,IMG_8951,,,,,,Loitering,0.02,2024-01-01 08:24:00,19.0,0.59,54,423,106,145,0.9573918861103319,0.3966663785577491,0.5308140566519428,0.638440589389916,Uncertain
506,Multi-lingual Street Signs,IMG_9188,,,English,Speed Limit 50,Alto,,,2024-01-01 08:25:00,,0.52,35,267,195,98,0.43415994539461744,0.18895971495324537,0.6149599209428374,0.34523720425019744,Correct
507,Handwritten Math Solutions,IMG_8253,Σ(n=1 to ∞) 1/n^2,1.0,,,,,,2024-01-01 08:26:00,,0.64,178,54,98,154,0.38583852303290267,0.9251490522954458,0.805327943863931,0.2621905654430686,Correct
508,Handwritten Math Solutions,IMG_3940,∫ x dx,7.0,,,,,,2024-01-01 08:27:00,,0.53,359,39,116,183,0.9608438296508544,0.1645801184683694,0.8685426371402659,0.47315536356530974,Uncertain
509,Security Camera Anomalies,IMG_4974,,,,,,Unauthorized Access,0.53,2024-01-01 08:28:00,32.0,0.58,130,114,175,135,0.827796458455799,0.054120246003314665,0.48056005486124176,0.011954415663874451,Uncertain
510,Security Camera Anomalies,IMG_6438,,,,,,Normal,0.94,2024-01-01 08:29:00,9.0,0.93,14,455,158,128,0.14057471505614338,0.046184166200482046,0.9061635501440569,0.23442591176907301,Incorrect
511,Multi-lingual Street Signs,IMG_2667,,,Spanish,Stop,Alto,,,2024-01-01 08:30:00,,0.81,357,43,154,182,0.8750725624499247,0.5104549532437852,0.5764288638828818,0.030444408480464924,Incorrect
512,Security Camera Anomalies,IMG_9309,,,,,,Normal,0.24,2024-01-01 08:31:00,27.0,0.57,464,116,187,91,0.5425473884063224,0.20536169874933063,0.2159043470686126,0.8314973941106216,Uncertain
513,Multi-lingual Street Signs,IMG_4088,,,English,Yield,Cédez le passage,,,2024-01-01 08:32:00,,0.72,303,322,197,169,0.35188691523404647,0.28006104189590775,0.34571905648999113,0.9183219821402411,Correct
514,Security Camera Anomalies,IMG_2910,,,,,,Normal,0.2,2024-01-01 08:33:00,32.0,0.75,167,371,107,91,0.2589214834207486,0.4687450488652065,0.3672189077835989,0.5549460301705141,Correct
515,Handwritten Math Solutions,IMG_3827,x^2 + y^2 = 25,9.0,,,,,,2024-01-01 08:34:00,,0.98,370,313,170,122,0.22078322284292407,0.3883031344434238,0.5181792050747295,0.5131801061389193,Correct
516,Security Camera Anomalies,IMG_9999,,,,,,Loitering,0.13,2024-01-01 08:35:00,2.0,0.5,8,244,66,79,0.2395841651434092,0.24118372043272007,0.7459427586414138,0.594474154488825,Correct
517,Multi-lingual Street Signs,IMG_1829,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 08:36:00,,0.55,168,142,87,92,0.24529733167266965,0.6178731850074387,0.5996319994481563,0.3976804771721305,Incorrect
518,Multi-lingual Street Signs,IMG_2374,,,Chinese,Yield,Cédez le passage,,,2024-01-01 08:37:00,,0.68,20,411,172,172,0.7877589432611609,0.41304156806901215,0.02863130745443543,0.9993353864560705,Correct
519,Security Camera Anomalies,IMG_2328,,,,,,Loitering,0.17,2024-01-01 08:38:00,36.0,0.61,227,128,154,186,0.05728387335957419,0.3271610547069992,0.7442844227578151,0.49626064051814467,Uncertain
520,Security Camera Anomalies,IMG_4412,,,,,,Loitering,0.16,2024-01-01 08:39:00,47.0,0.95,162,460,135,92,0.18212774149343047,0.23877693922812493,0.30643263817024,0.06691100330985544,Correct
521,Security Camera Anomalies,IMG_6535,,,,,,Loitering,0.28,2024-01-01 08:40:00,50.0,0.65,361,277,55,110,0.3190782673645777,0.8864604860096239,0.6143414669747418,0.9324629072441898,Correct
522,Multi-lingual Street Signs,IMG_6036,,,Spanish,Stop,禁止进入,,,2024-01-01 08:41:00,,0.9,108,243,195,181,0.21297914910562243,0.4045298295014207,0.24095959252276744,0.6364080156089422,Incorrect
523,Multi-lingual Street Signs,IMG_4968,,,Chinese,Yield,Limite de velocidad 50,,,2024-01-01 08:42:00,,0.9,204,341,94,109,0.9146235287563216,0.8623949660997198,0.022949787541553968,0.6875647654697914,Uncertain
524,Multi-lingual Street Signs,IMG_9706,,,French,No Entry,Alto,,,2024-01-01 08:43:00,,1.0,187,388,79,183,0.15312750688402788,0.3611484476130341,0.9293551117285128,0.8677291714761036,Incorrect
525,Handwritten Math Solutions,IMG_2162,x^2 + y^2 = 25,4.0,,,,,,2024-01-01 08:44:00,,0.74,36,295,101,56,0.3498761131378769,0.06310938107737696,0.647411256782144,0.3406495432514044,Correct
526,Handwritten Math Solutions,IMG_9856,∫ x dx,5.0,,,,,,2024-01-01 08:45:00,,0.79,423,493,198,137,0.855973520668145,0.34256851806777244,0.2691538036463659,0.06550448530081987,Incorrect
527,Security Camera Anomalies,IMG_7724,,,,,,Normal,0.81,2024-01-01 08:46:00,43.0,0.53,447,33,107,87,0.0017023221717213932,0.40108276541915455,0.20315949247848653,0.7542670161784283,Incorrect
528,Security Camera Anomalies,IMG_4400,,,,,,Loitering,0.61,2024-01-01 08:47:00,28.0,0.82,277,226,198,187,0.03752490679232201,0.9937361804231186,0.49009758857322916,0.3240512113575923,Correct
529,Security Camera Anomalies,IMG_7052,,,,,,Loitering,0.24,2024-01-01 08:48:00,17.0,0.73,206,148,125,131,0.5526819120570831,0.9683655608850448,0.36443639401249794,0.5252837113106941,Incorrect
530,Multi-lingual Street Signs,IMG_2545,,,Spanish,Stop,Alto,,,2024-01-01 08:49:00,,0.93,295,231,56,98,0.05557655011883855,0.2442592043305234,0.02145679541912937,0.32495424905100767,Uncertain
531,Security Camera Anomalies,IMG_1268,,,,,,Normal,0.63,2024-01-01 08:50:00,8.0,0.94,493,374,114,95,0.6833534273832083,0.6036850612152381,0.960853163990572,0.944845702317906,Correct
532,Handwritten Math Solutions,IMG_9702,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 08:51:00,,0.72,44,5,54,189,0.4602644569971144,0.28217551490223036,0.9754131491096335,0.4654743391819105,Uncertain
533,Multi-lingual Street Signs,IMG_9963,,,Chinese,No Entry,Limite de velocidad 50,,,2024-01-01 08:52:00,,0.51,307,433,153,189,0.24568046947590816,0.3715203902363664,0.6609810502056439,0.19869066807265656,Correct
534,Security Camera Anomalies,IMG_4640,,,,,,Unauthorized Access,0.79,2024-01-01 08:53:00,36.0,0.52,178,272,158,61,0.9433322005679516,0.13620963467676972,0.43986108505841903,0.9154680026060389,Incorrect
535,Multi-lingual Street Signs,IMG_1726,,,Chinese,No Entry,Limite de velocidad 50,,,2024-01-01 08:54:00,,0.6,93,452,77,120,0.21938564525395143,0.288370326247526,0.18874434147692476,0.6399291415828483,Correct
536,Security Camera Anomalies,IMG_1495,,,,,,Loitering,0.69,2024-01-01 08:55:00,24.0,0.62,2,148,69,54,0.6571097694602893,0.9045263668059845,0.8785661569959946,0.27374947608874,Correct
537,Multi-lingual Street Signs,IMG_6745,,,Spanish,Yield,禁止进入,,,2024-01-01 08:56:00,,0.66,183,385,156,185,0.8106205084614936,0.32170816116598244,0.07044878305792102,0.6994395104228692,Incorrect
538,Handwritten Math Solutions,IMG_6556,∫ x dx,8.0,,,,,,2024-01-01 08:57:00,,0.96,335,84,198,57,0.5404773490238169,0.6170682699014857,0.6111537482669136,0.2966004526724154,Uncertain
539,Handwritten Math Solutions,IMG_3651,Σ(n=1 to ∞) 1/n^2,7.0,,,,,,2024-01-01 08:58:00,,0.66,210,481,95,129,0.09248979112755962,0.770596423897076,0.017799766442847864,0.24991595549958123,Incorrect
540,Multi-lingual Street Signs,IMG_8309,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 08:59:00,,0.82,312,200,57,136,0.06899286584823305,0.8593527817457977,0.18894800087446628,0.6332668343728638,Incorrect
541,Handwritten Math Solutions,IMG_9829,∫ x dx,10.0,,,,,,2024-01-01 09:00:00,,0.97,170,77,107,51,0.3470279698374069,0.8363809090934693,0.4485902588613404,0.6057020062249278,Correct
542,Security Camera Anomalies,IMG_9707,,,,,,Normal,0.76,2024-01-01 09:01:00,40.0,0.52,394,246,122,136,0.15230344854868716,0.17263968308457323,0.7794141810865599,0.12390865250572158,Uncertain
543,Security Camera Anomalies,IMG_7480,,,,,,Loitering,0.64,2024-01-01 09:02:00,49.0,0.83,291,259,56,200,0.6883777991702654,0.4643378347698406,0.34605461065611287,0.5192742576014813,Uncertain
544,Handwritten Math Solutions,IMG_1815,Σ(n=1 to ∞) 1/n^2,4.0,,,,,,2024-01-01 09:03:00,,1.0,433,16,180,142,0.27440444409648534,0.8683772781573966,0.7737115588556938,0.7665611302116708,Correct
545,Handwritten Math Solutions,IMG_5825,x^2 + y^2 = 25,8.0,,,,,,2024-01-01 09:04:00,,0.58,184,384,95,161,0.687678125477228,0.4473587289653831,0.4168071925709347,0.3144927716091406,Correct
546,Security Camera Anomalies,IMG_8259,,,,,,Unauthorized Access,0.9,2024-01-01 09:05:00,47.0,0.61,221,323,75,82,0.06974341889853597,0.9811634378299902,0.5509109019404917,0.14696415366449256,Uncertain
547,Handwritten Math Solutions,IMG_8161,∫ x dx,4.0,,,,,,2024-01-01 09:06:00,,0.68,447,410,199,78,0.7905983167488392,0.3925615743996378,0.2085349303003644,0.45055401245979065,Incorrect
548,Handwritten Math Solutions,IMG_5507,∫ x dx,7.0,,,,,,2024-01-01 09:07:00,,0.78,159,92,111,59,0.5325672270216352,0.3980081141309554,0.2168485073105082,0.8316094283430553,Uncertain
549,Security Camera Anomalies,IMG_9191,,,,,,Loitering,0.53,2024-01-01 09:08:00,35.0,0.81,441,378,51,57,0.6100001082096083,0.16171002895267406,0.6782734541933256,0.7162251702347064,Correct
550,Security Camera Anomalies,IMG_7871,,,,,,Normal,0.29,2024-01-01 09:09:00,29.0,0.93,112,209,165,185,0.12714407023421725,0.13309947641142705,0.029824364102174483,0.9225941536682506,Correct
551,Multi-lingual Street Signs,IMG_6981,,,Chinese,No Entry,Cédez le passage,,,2024-01-01 09:10:00,,0.88,48,381,121,174,0.7824519601958954,0.7937447190269009,0.2764784858363769,0.05506299894678346,Incorrect
552,Handwritten Math Solutions,IMG_4448,x^2 + y^2 = 25,3.0,,,,,,2024-01-01 09:11:00,,0.73,454,23,189,191,0.4084008740884538,0.24495370892611945,0.4249702974331434,0.04304894238359802,Correct
553,Security Camera Anomalies,IMG_5657,,,,,,Normal,0.82,2024-01-01 09:12:00,25.0,0.56,59,435,152,98,0.242822159073391,0.6581642546700655,0.7758941646834753,0.7209871150066158,Incorrect
554,Multi-lingual Street Signs,IMG_1810,,,French,No Entry,Cédez le passage,,,2024-01-01 09:13:00,,0.95,5,310,185,141,0.6459326362616827,0.040077156383685586,0.640511784453973,0.9552235367211473,Incorrect
555,Security Camera Anomalies,IMG_4888,,,,,,Normal,0.31,2024-01-01 09:14:00,4.0,0.67,142,437,88,119,0.20824634797739294,0.8090885830263338,0.09248906992363237,0.933269981280035,Incorrect
556,Security Camera Anomalies,IMG_8361,,,,,,Normal,0.69,2024-01-01 09:15:00,27.0,0.51,366,14,178,189,0.9097797456901147,0.09234040033382895,0.7262923998010453,0.3205239870967441,Correct
557,Security Camera Anomalies,IMG_1887,,,,,,Loitering,0.35,2024-01-01 09:16:00,32.0,0.5,46,217,147,54,0.2803178001983524,0.9636900557400447,0.5994700478990093,0.29362557716060034,Correct
558,Multi-lingual Street Signs,IMG_9649,,,Chinese,Speed Limit 50,Cédez le passage,,,2024-01-01 09:17:00,,0.83,168,3,84,192,0.46585747765917773,0.23249191704464756,0.8962957429448523,0.057731232647732944,Uncertain
559,Security Camera Anomalies,IMG_8686,,,,,,Loitering,0.73,2024-01-01 09:18:00,2.0,0.93,284,174,154,135,0.9469456660184692,0.8521456520854156,0.894653252818665,0.3025394977020981,Uncertain
560,Security Camera Anomalies,IMG_1929,,,,,,Normal,0.63,2024-01-01 09:19:00,5.0,0.91,454,500,133,157,0.6926204119667585,0.8897630618591449,0.7285460638553295,0.07568939470882552,Uncertain
